,canDelete,devicesDistance,frequency,id,origin,signal,sitesDistance,ssid,state,type,from.device.attributes.series,from.device.identification.authorized,from.device.identification.category,from.device.identification.displayName,from.device.identification.id,from.device.identification.model,from.device.identification.name,from.device.identification.role,from.device.identification.type,from.device.overview.antenna.gain,from.device.overview.antenna.name,from.device.overview.channelWidth,from.device.status,from.interface.identification.description,from.interface.identification.displayName,from.interface.identification.name,from.interface.identification.type,from.interface.statistics.airTimeScore,from.interface.statistics.downlinkCapacity,from.interface.statistics.downlinkUtilization,from.interface.statistics.linkScore,from.interface.statistics.linkScoreHint,from.interface.statistics.rxRate,from.interface.statistics.score,from.interface.statistics.scoreMax,from.interface.statistics.signalChain0,from.interface.statistics.signalChain1,from.interface.statistics.signalLocal,from.interface.statistics.signalRemote,from.interface.statistics.signalRemoteChain0,from.interface.statistics.signalRemoteChain1,from.interface.statistics.theoreticalDownlinkCapacity,from.interface.statistics.theoreticalMaxDownlinkCapacity,from.interface.statistics.theoreticalMaxUplinkCapacity,from.interface.statistics.theoreticalUplinkCapacity,from.interface.statistics.txRate,from.interface.statistics.uplinkCapacity,from.interface.statistics.uplinkUtilization,from.interface.status.enabled,from.interface.status.plugged,from.interface.status.status,from.site.identification.id,from.site.identification.name,from.site.identification.status,from.site.identification.type,to.device.attributes.series,to.device.identification.authorized,to.device.identification.category,to.device.identification.displayName,to.device.identification.id,to.device.identification.model,to.device.identification.name,to.device.identification.role,to.device.identification.type,to.device.overview.antenna.gain,to.device.overview.antenna.name,to.device.overview.channelWidth,to.device.status,to.interface.identification.description,to.interface.identification.displayName,to.interface.identification.name,to.interface.identification.type,to.interface.statistics.airTimeScore,to.interface.statistics.downlinkCapacity,to.interface.statistics.downlinkUtilization,to.interface.statistics.linkScore,to.interface.statistics.linkScoreHint,to.interface.statistics.rxRate,to.interface.statistics.score,to.interface.statistics.scoreMax,to.interface.statistics.signalChain0,to.interface.statistics.signalChain1,to.interface.statistics.signalLocal,to.interface.statistics.signalRemote,to.interface.statistics.signalRemoteChain0,to.interface.statistics.signalRemoteChain1,to.interface.statistics.theoreticalDownlinkCapacity,to.interface.statistics.theoreticalMaxDownlinkCapacity,to.interface.statistics.theoreticalMaxUplinkCapacity,to.interface.statistics.theoreticalUplinkCapacity,to.interface.statistics.txRate,to.interface.statistics.uplinkCapacity,to.interface.statistics.uplinkUtilization,to.interface.status.enabled,to.interface.status.plugged,to.interface.status.status,to.site.identification.id,to.site.identification.name,to.site.identification.status,to.site.identification.type,to.device.overview.antenna,to.site,from.device.overview.antenna,to.device.attributes,from.device.attributes,from.site
0,False,1350.0,5240.0,a066e2e2-1472-36a5-a844-e3ab4d23c3c6,unms,-54.0,1199.0,LCWNetRidgeRoad5East,active,wireless,AC,True,wireless,RidgeRoad5East,85826fbc-15bc-4bbe-a8b4-d2f6c8356dea,RP-5AC-Gen2,RidgeRoad5East,ap,airMax,22.0,AM-5AC22-45,20.0,active,,wlan0,wlan0,wlan,1.0,149760000.0,0.1867883547008547,0.961715,This link is great.,2814128.0,0.972917,1.0,,,,,,,,,,,27973424.0,146640000.0,0.019190725586470267,True,True,active,856f32ac-2529-4049-a862-b6e014b05b1e,RidgeRoad,active,site,AC,True,wireless,ortiz-road-1,45c4f5d3-f48c-4452-a4f1-64a008f1a383,PBE-5AC-400,ortiz-road-1,station,airMax,25.0,400,20.0,active,,wlan0,wlan0,wlan,1.0,149760000.0,0.00798434829059829,0.999,This link is great.,24095288.0,1.0,1.0,-57.0,-58.0,-54.0,-55.0,-59.0,-58.0,,,,,1195736.0,146640000.0,0.16431593016912166,True,True,active,2e919fc7-9e06-4fc2-9ef6-91fbd6584ef7,ortiz-road-1,active,endpoint,,,,,,
1,False,600.0,5610.0,1edd429d-2cbd-3181-8c09-d294bc90d0e7,unms,-55.0,246.0,LCWNetLimeKiln5,active,wireless,AC,True,wireless,LimeKiln5,d8752b33-feb3-4ed8-89ec-472c49c36941,RP-5AC-Gen2,LimeKiln5,ap,airMax,17.0,AM-5G17-90,20.0,active,,wlan0,wlan0,wlan,1.0,95680000.0,0.0020395484949832774,0.926839,This link is great.,171256.0,0.825,1.0,,,-77.0,-75.0,,,,,,,195144.0,37440000.0,0.004574145299145299,True,True,active,cbc03e39-8ed0-458b-9913-4c5a9cb47af1,LimeKiln,active,site,AC,True,wireless,lime-kiln-10,e070fa82-083e-438b-b5a4-149179b90a7a,NBE-5AC-19,lime-kiln-10,station,airMax,19.0,NBE-M5AC-19,20.0,active,,wlan0,wlan0,wlan,1.0,67080000.0,0.0012330351818723912,0.825,This link is fine.,35568.0,0.476,1.0,-58.0,-56.0,-54.0,-56.0,-56.0,-67.0,,,,,82712.0,60840000.0,0.0005846153846153846,True,True,active,b4817dc9-63a6-41a6-9cb1-f089ea1d4c31,lime-kiln-10,active,endpoint,,,,,,
2,False,2100.0,5485.0,8cc18e52-708d-3c6a-b394-dc205723f2f5,unms,-55.0,2525.0,LCWNetGrenfell5South,active,wireless,AC,True,wireless,Grenfell5South,5c78d52e-b67a-4120-b900-49443f1198d1,R5AC-PRISM,Grenfell5South,ap,airMax,20.0,AM-5G20-90,20.0,active,,wlan0,wlan0,wlan,1.0,109200000.0,0.22479003663003663,0.645,"Please, make sure the signal is not interrupted (bad visibility, fresnel zones etc...) and that there is no interference.",1520560.0,0.74881,1.0,,,,,,,,,,,24547072.0,56160000.0,0.027075498575498576,True,True,active,9b1db466-ec27-4e55-8f5a-ad7d32a7ad28,Grenfell,active,site,AC,True,wireless,cedar-mountain-63,7f7641e8-8462-487d-bfca-1793370a6cbe,PBE-5AC-620,cedar-mountain-63,station,airMax,29.0,PBE-5AC-620,20.0,active,,wlan0,wlan0,wlan,1.0,97110000.0,0.0007446400988569663,0.65,"Please, make sure the signal is not interrupted (bad visibility, fresnel zones etc...) and that there is no interference.",910584.0,0.804,1.0,-55.0,-60.0,-54.0,-54.0,-55.0,-61.0,,,,,72312.0,62400000.0,0.014592692307692308,True,True,active,96f610c0-ff15-4dbc-a600-e48792d35e9a,cedar-mountain-63,active,endpoint,,,,,,
3,False,1050.0,5745.0,1340ef79-7804-3fbd-82d9-65ccc6976fba,unms,-49.0,709.0,LCWNetRbE5NW,active,wireless,AC,True,wireless,RainbowsEnd5Northwest,3b0a1702-465e-48fa-92a8-f0c8fd4f25e3,RP-5AC-Gen2,RainbowsEnd5Northwest,ap,airMax,19.0,AM-5G19-120,20.0,active,,wlan0,wlan0,wlan,1.0,107640000.0,0.10422088442958008,0.957678,This link is great.,753872.0,0.926231,1.0,,,,,,,,,,,11218336.0,148200000.0,0.005086855600539811,True,True,active,ea5ee0e5-ec6f-4997-9b3b-13ae0f3b2566,RainbowsEnd,active,site,AC,True,wireless,rainbows-end-1261,366c4307-ec58-4384-9bcf-b876565d1712,LBE-5AC-Gen2,rainbows-end-1261,station,airMax,23.0,23,20.0,active,,wlan0,wlan0,wlan,1.0,118560000.0,0.0001951417004048583,0.982,This link is great.,12248.0,0.949,1.0,-53.0,-50.0,-48.0,-61.0,-62.0,-67.0,,,,,23136.0,107900000.0,0.00011351251158480075,True,True,active,f0cf7f4b-f5f8-4271-ae63-f6bd1cfa3b21,rainbows-end-1261,active,endpoint,,,,,,
4,False,3450.0,5630.0,c8f99818-dbb7-303d-91e3-96d5712c174f,unms,-56.0,,LCWNetNMO5West,active,wireless,AC,True,wireless,NewMoonOverlook5West,6f9b8252-b7e7-4c4a-98a7-6df5de310afe,RP-5AC-Gen2,NewMoonOverlook5West,ap,airMax,20.0,AM-5G20-90,20.0,active,,wlan0,wlan0,wlan,1.0,145080000.0,0.10079272125723739,0.93375,This link is great.,1215664.0,0.80425,1.0,,,,,,,,,,,14623008.0,124800000.0,0.009740897435897436,True,True,active,09cd8c36-b7e3-49c5-8173-62ac3c645370,NewMoonOverlook,active,site,AC,True,wireless,cielo-tranquilo-court-1268,48b5eb47-959b-413d-b8f1-ef76d1f8f9a5,PBE-5AC-Gen2,cielo-tranquilo-court-1268,station,airMax,25.0,400,20.0,active,,wlan0,wlan0,wlan,1.0,145080000.0,0.0014142266335814722,0.962,This link is great.,5058456.0,0.89,1.0,-58.0,-61.0,-56.0,-59.0,-61.0,-64.0,,,,,205176.0,124800000.0,0.0405325,True,True,active,ca05fc31-c7e9-409c-afdb-429ab86cc417,cielo-tranquilo-cout-1268,active,endpoint,,,,,,
5,False,900.0,5570.0,06ea727d-e881-35fe-8f57-786a18088ff3,unms,-51.0,283.0,LCWNetDonJose5Southeast,active,wireless,AC,True,wireless,DonJose5Southeast,18711e79-078a-4dc3-899b-6eacf3ed4ea6,R5AC-PRISM,DonJose5Southeast,ap,airMax,19.0,AM-5G19-120,20.0,active,,wlan0,wlan0,wlan,1.0,129480000.0,0.05038449181340748,0.959136,This link is great.,586016.0,0.945545,1.0,,,,,,,,,,,6523784.0,149760000.0,0.003913034188034188,True,True,active,9904f2a1-7e67-44e9-bdb0-062c25d8f4c7,DonJoseSoutheast,active,site,AC,True,wireless,camino-los-abuelos-1000,ee344eff-3d92-4f4f-83d7-fea67795ebe2,Loco5AC,camino-los-abuelos-1000,station,airMax,13.0,NANO-G2,20.0,active,,wlan0,wlan0,wlan,1.0,106600000.0,0.0005952720450281426,0.982,This link is great.,577568.0,0.949,1.0,-55.0,-55.0,-52.0,-52.0,-57.0,-54.0,,,,,63456.0,149760000.0,0.0038566239316239316,True,True,active,dba38a20-209b-4ec5-8e39-bbb24b81986b,camino-los-abuelos-1000,active,endpoint,,,,,,
6,False,6450.0,5530.0,ebef4123-e9e9-3b31-a233-c1b2dd7a6bdf,unms,-53.0,6186.0,LCWNetLamy5,active,wireless,AC,True,wireless,Lamy5,d3f60cd4-d106-4baa-960e-cecfdbc089da,RP-5AC-Gen2,Lamy5,ap,airMax,20.0,AM-5G20-90,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.04225878542510121,0.988692,This link is great.,767408.0,0.969308,1.0,,,,,,,,,,,6262752.0,149760000.0,0.005124252136752137,True,True,active,868d6b29-26db-433f-9894-06f2b80eb011,LamyOverlook,active,site,AC,True,wireless,saddleback-ranch-road-1366,b6b154c0-1c88-4aaf-8910-d25d7e1ad3b0,PBE-5AC-620,saddleback-ranch-road-1366,station,airMax,29.0,PBE-5AC-620,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.00014564102564102564,0.975,This link is great.,7864.0,0.928,1.0,-55.0,-59.0,-54.0,-60.0,-62.0,-64.0,,,,,21584.0,124800000.0,6.301282051282051e-05,True,True,active,676a422a-8d29-47af-be97-60f5a28dba63,saddleback-ranch-road-1366,active,endpoint,,,,,,
7,False,1800.0,5485.0,783c1a69-b1c7-3e2f-97fe-4c31f1a5378b,unms,-51.0,1789.0,LCWNetGoldmine5North,active,wireless,AC,True,wireless,Goldmine5North,085d5e32-43f1-4185-baf3-ef62d07683f1,R5AC-PRISM,Goldmine5North,ap,airMax,22.0,AM-5AC22-45,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.17309846153846153,0.94639,This link is great.,5278016.0,0.890864,1.0,,,,,,,,,,,25653192.0,149760000.0,0.03524316239316239,True,True,active,5c5ce6e5-c606-4ddb-a266-45d679a9db50,Goldmine,active,site,AC,True,wireless,santo-2,b5bbe6ad-db8e-4d8d-a8db-7533a1ec67c3,PBE-5AC-500-ISO,santo-2,station,airMax,27.0,PBE-5AC-500,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.0007968151147098515,0.999,This link is great.,708184.0,1.0,1.0,-57.0,-52.0,-51.0,-50.0,-56.0,-51.0,,,,,118088.0,146640000.0,0.004829405346426623,True,True,active,aea2317d-693e-44b5-bd1c-af6cd1f39379,santo-2,active,endpoint,,,,,,
8,False,1350.0,5665.0,465562b1-2999-3b66-88b5-63ba0cf3d7f2,unms,-49.0,1301.0,LCWNetSerpentineRidge5Southwest,active,wireless,AC,True,wireless,SerpentineRidge5Southwest,92cd7012-6108-49c8-a473-2eb394deeccc,RP-5AC-Gen2,SerpentineRidge5Southwest,ap,airMax,17.0,AM-5G17-90,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.05823417004048583,0.893225,This link is fine.,1868176.0,0.746455,1.0,,,,,,,,,,,8630304.0,89700000.0,0.020826934225195094,True,True,active,440c95eb-8275-494d-b277-9f37ba00f3a8,SerpentineRidge,active,site,AC,True,wireless,old-santa-fe-trail-9,230836b7-a600-4525-9c58-0f6cec659fac,NBE-5AC-19,old-santa-fe-trail-9,station,airMax,19.0,NBE-M5AC-19,20.0,active,,wlan0,wlan0,wlan,1.0,140400000.0,0.00023225071225071225,0.954,This link is great.,47456.0,0.865,1.0,-54.0,-51.0,-49.0,-57.0,-61.0,-60.0,,,,,32608.0,96200000.0,0.0004933056133056133,True,True,active,cdf962ea-6ada-4be3-8bdb-a34853b0e896,old-santa-fe-trail-9,active,endpoint,,,,,,
9,False,4500.0,5530.0,b2ea79c7-7d70-307b-975d-8c5b45c8d47b,unms,-54.0,4402.0,LCWNetDonJose5North,active,wireless,AC,True,wireless,DonJose5North,4cb7d248-ce97-4b65-9147-4bedd138c104,R5AC-PRISM,DonJose5North,ap,airMax,19.0,AM-5G19-120,20.0,active,,wlan0,wlan0,wlan,1.0,146640000.0,0.24759847244953628,0.973765,This link is great.,4825864.0,0.924294,1.0,,,,,,,,,,,36307840.0,149760000.0,0.03222398504273504,True,True,active,4521ece7-ebb9-44f1-85d3-7bd1d2a1fd3a,DonJose,active,site,AC,True,wireless,RanchoAlegreDonJose5North,b8bc5860-1585-4043-8d38-ce1329055973,PBE-5AC-620,RanchoAlegreDonJose5North,station,airMax,29.0,PBE-5AC-620,20.0,active,,wlan0,wlan0,wlan,1.0,148200000.0,0.0007209716599190283,0.999,This link is great.,315832.0,1.0,1.0,-57.0,-57.0,-54.0,-56.0,-61.0,-58.0,,,,,106848.0,149760000.0,0.00210892094017094,True,True,active,f899f814-b71c-449b-bb02-e8e6c48cc3e5,RanchoAlegre,active,site,,,,,,
